Student_ID,Audit_Group
Student_0001,Audit_A
Student_0002,Audit_C
Student_0003,Audit_A
Student_0004,Audit_A
Student_0005,Audit_B
Student_0006,Audit_C
Student_0007,Audit_B
Student_0008,Audit_A
Student_0009,Audit_B
Student_0010,Audit_A
Student_0011,Audit_C
Student_0012,Audit_A
Student_0013,Audit_B
Student_0014,Audit_B
Student_0015,Audit_A
Student_0016,Audit_B
Student_0017,Audit_A
Student_0018,Audit_B
Student_0019,Audit_B
Student_0020,Audit_A
Student_0021,Audit_B
Student_0022,Audit_A
Student_0023,Audit_B
Student_0024,Audit_A
Student_0025,Audit_A
Student_0026,Audit_B
Student_0027,Audit_B
Student_0028,Audit_A
Student_0029,Audit_B
Student_0030,Audit_C
Student_0031,Audit_A
Student_0032,Audit_B
Student_0033,Audit_A
Student_0034,Audit_C
Student_0035,Audit_A
Student_0036,Audit_B
Student_0037,Audit_B
Student_0038,Audit_B
Student_0039,Audit_B
Student_0040,Audit_A
Student_0041,Audit_A
Student_0042,Audit_A
Student_0043,Audit_A
Student_0044,Audit_B
Student_0045,Audit_A
Student_0046,Audit_C
Student_0047,Audit_C
Student_0048,Audit_B
Student_0049,Audit_B
Student_0050,Audit_C
Student_0051,Audit_B
Student_0052,Audit_C
Student_0053,Audit_A
Student_0054,Audit_A
Student_0055,Audit_C
Student_0056,Audit_C
Student_0057,Audit_B
Student_0058,Audit_C
Student_0059,Audit_B
Student_0060,Audit_B
Student_0061,Audit_A
Student_0062,Audit_A
Student_0063,Audit_A
Student_0064,Audit_A
Student_0065,Audit_B
Student_0066,Audit_A
Student_0067,Audit_C
Student_0068,Audit_B
Student_0069,Audit_A
Student_0070,Audit_B
Student_0071,Audit_B
Student_0072,Audit_A
Student_0073,Audit_C
Student_0074,Audit_B
Student_0075,Audit_C
Student_0076,Audit_A
Student_0077,Audit_A
Student_0078,Audit_A
Student_0079,Audit_B
Student_0080,Audit_B
Student_0081,Audit_A
Student_0082,Audit_A
Student_0083,Audit_A
Student_0084,Audit_B
Student_0085,Audit_A
Student_0086,Audit_B
Student_0087,Audit_A
Student_0088,Audit_A
Student_0089,Audit_C
Student_0090,Audit_B
Student_0091,Audit_B
Student_0092,Audit_B
Student_0093,Audit_A
Student_0094,Audit_A
Student_0095,Audit_B
Student_0096,Audit_A
Student_0097,Audit_C
Student_0098,Audit_A
Student_0099,Audit_C
Student_0100,Audit_A
Student_0101,Audit_A
Student_0102,Audit_A
Student_0103,Audit_C
Student_0104,Audit_A
Student_0105,Audit_A
Student_0106,Audit_B
Student_0107,Audit_C
Student_0108,Audit_C
Student_0109,Audit_B
Student_0110,Audit_B
Student_0111,Audit_B
Student_0112,Audit_B
Student_0113,Audit_B
Student_0114,Audit_C
Student_0115,Audit_B
Student_0116,Audit_A
Student_0117,Audit_C
Student_0118,Audit_C
Student_0119,Audit_A
Student_0120,Audit_C
Student_0121,Audit_A
Student_0122,Audit_A
Student_0123,Audit_C
Student_0124,Audit_A
Student_0125,Audit_A
Student_0126,Audit_A
Student_0127,Audit_C
Student_0128,Audit_B
Student_0129,Audit_B
Student_0130,Audit_A
Student_0131,Audit_B
Student_0132,Audit_A
Student_0133,Audit_A
Student_0134,Audit_A
Student_0135,Audit_C
Student_0136,Audit_B
Student_0137,Audit_A
Student_0138,Audit_A
Student_0139,Audit_B
Student_0140,Audit_B
Student_0141,Audit_C
Student_0142,Audit_B
Student_0143,Audit_B
Student_0144,Audit_B
Student_0145,Audit_C
Student_0146,Audit_A
Student_0147,Audit_A
Student_0148,Audit_A
Student_0149,Audit_B
Student_0150,Audit_B
Student_0151,Audit_C
Student_0152,Audit_A
Student_0153,Audit_A
Student_0154,Audit_A
Student_0155,Audit_A
Student_0156,Audit_A
Student_0157,Audit_A
Student_0158,Audit_A
Student_0159,Audit_C
Student_0160,Audit_A
Student_0161,Audit_C
Student_0162,Audit_B
Student_0163,Audit_B
Student_0164,Audit_A
Student_0165,Audit_A
Student_0166,Audit_A
Student_0167,Audit_A
Student_0168,Audit_B
Student_0169,Audit_B
Student_0170,Audit_A
Student_0171,Audit_B
Student_0172,Audit_A
Student_0173,Audit_A
Student_0174,Audit_A
Student_0175,Audit_A
Student_0176,Audit_A
Student_0177,Audit_B
Student_0178,Audit_B
Student_0179,Audit_A
Student_0180,Audit_A
Student_0181,Audit_C
Student_0182,Audit_A
Student_0183,Audit_C
Student_0184,Audit_A
Student_0185,Audit_B
Student_0186,Audit_C
Student_0187,Audit_C
Student_0188,Audit_A
Student_0189,Audit_A
Student_0190,Audit_A
Student_0191,Audit_C
Student_0192,Audit_A
Student_0193,Audit_A
Student_0194,Audit_A
Student_0195,Audit_C
Student_0196,Audit_B
Student_0197,Audit_B
Student_0198,Audit_A
Student_0199,Audit_C
Student_0200,Audit_A
Student_0201,Audit_A
Student_0202,Audit_C
Student_0203,Audit_B
Student_0204,Audit_C
Student_0205,Audit_A
Student_0206,Audit_B
Student_0207,Audit_C
Student_0208,Audit_B
Student_0209,Audit_A
Student_0210,Audit_B
Student_0211,Audit_B
Student_0212,Audit_B
Student_0213,Audit_C
Student_0214,Audit_B
Student_0215,Audit_A
Student_0216,Audit_B
Student_0217,Audit_A
Student_0218,Audit_B
Student_0219,Audit_A
Student_0220,Audit_A
Student_0221,Audit_C
Student_0222,Audit_A
Student_0223,Audit_A
Student_0224,Audit_C
Student_0225,Audit_B
Student_0226,Audit_C
Student_0227,Audit_B
Student_0228,Audit_A
Student_0229,Audit_A
Student_0230,Audit_C
Student_0231,Audit_B
Student_0232,Audit_A
Student_0233,Audit_A
Student_0234,Audit_A
Student_0235,Audit_B
Student_0236,Audit_C
Student_0237,Audit_B
