Course_ID,Program_ID,Course_Level,Credits,Course_Type,Offering_Cadence,Required_Flag,Requirement_Group
Program_A_C01,Program_A,100,3,Lecture,Both,1,Core
Program_A_C02,Program_A,100,3,Lecture,Both,1,Core
Program_A_C03,Program_A,100,3,Lecture,Fall,1,Core
Program_A_C04,Program_A,100,4,Laboratory,Spring,1,Core
Program_A_C05,Program_A,200,3,Lecture,Both,1,Core
Program_A_C06,Program_A,200,3,Lecture,Both,1,Core
Program_A_C07,Program_A,200,3,Lecture,Fall,1,Core
Program_A_C08,Program_A,200,4,Laboratory,Spring,1,Core
Program_A_C09,Program_A,300,3,Lecture,Both,1,Core
Program_A_C10,Program_A,300,3,Lecture,Both,1,Core
Program_A_C11,Program_A,300,3,Lecture,Fall,1,Core
Program_A_C12,Program_A,300,4,Laboratory,Spring,1,Core
Program_A_C13,Program_A,400,3,Lecture,Both,0,Program_Elective
Program_A_C14,Program_A,400,3,Lecture,Both,0,Program_Elective
Program_A_C15,Program_A,400,3,Seminar,Fall,0,Program_Elective
Program_A_C16,Program_A,400,3,Seminar,Spring,0,Program_Elective
Program_B_C01,Program_B,100,3,Lecture,Both,1,Core
Program_B_C02,Program_B,100,3,Lecture,Both,1,Core
Program_B_C03,Program_B,100,3,Lecture,Fall,1,Core
Program_B_C04,Program_B,100,4,Laboratory,Spring,1,Core
Program_B_C05,Program_B,200,3,Lecture,Both,1,Core
Program_B_C06,Program_B,200,3,Lecture,Both,1,Core
Program_B_C07,Program_B,200,3,Lecture,Fall,1,Core
Program_B_C08,Program_B,200,4,Laboratory,Spring,1,Core
Program_B_C09,Program_B,300,3,Lecture,Both,1,Core
Program_B_C10,Program_B,300,3,Lecture,Both,1,Core
Program_B_C11,Program_B,300,3,Lecture,Fall,1,Core
Program_B_C12,Program_B,300,4,Laboratory,Spring,1,Core
Program_B_C13,Program_B,400,3,Lecture,Both,0,Program_Elective
Program_B_C14,Program_B,400,3,Lecture,Both,0,Program_Elective
Program_B_C15,Program_B,400,3,Seminar,Fall,0,Program_Elective
Program_B_C16,Program_B,400,3,Seminar,Spring,0,Program_Elective
Program_C_C01,Program_C,100,3,Lecture,Both,1,Core
Program_C_C02,Program_C,100,3,Lecture,Both,1,Core
Program_C_C03,Program_C,100,3,Lecture,Fall,1,Core
Program_C_C04,Program_C,100,4,Laboratory,Spring,1,Core
Program_C_C05,Program_C,200,3,Lecture,Both,1,Core
Program_C_C06,Program_C,200,3,Lecture,Both,1,Core
Program_C_C07,Program_C,200,3,Lecture,Fall,1,Core
Program_C_C08,Program_C,200,4,Laboratory,Spring,1,Core
Program_C_C09,Program_C,300,3,Lecture,Both,1,Core
Program_C_C10,Program_C,300,3,Lecture,Both,1,Core
Program_C_C11,Program_C,300,3,Lecture,Fall,1,Core
Program_C_C12,Program_C,300,4,Laboratory,Spring,1,Core
Program_C_C13,Program_C,400,3,Lecture,Both,0,Program_Elective
Program_C_C14,Program_C,400,3,Lecture,Both,0,Program_Elective
Program_C_C15,Program_C,400,3,Seminar,Fall,0,Program_Elective
Program_C_C16,Program_C,400,3,Seminar,Spring,0,Program_Elective
Program_D_C01,Program_D,100,3,Lecture,Both,1,Core
Program_D_C02,Program_D,100,3,Lecture,Both,1,Core
Program_D_C03,Program_D,100,3,Lecture,Fall,1,Core
Program_D_C04,Program_D,100,4,Laboratory,Spring,1,Core
Program_D_C05,Program_D,200,3,Lecture,Both,1,Core
Program_D_C06,Program_D,200,3,Lecture,Both,1,Core
Program_D_C07,Program_D,200,3,Lecture,Fall,1,Core
Program_D_C08,Program_D,200,4,Laboratory,Spring,1,Core
Program_D_C09,Program_D,300,3,Lecture,Both,1,Core
Program_D_C10,Program_D,300,3,Lecture,Both,1,Core
Program_D_C11,Program_D,300,3,Lecture,Fall,1,Core
Program_D_C12,Program_D,300,4,Laboratory,Spring,1,Core
Program_D_C13,Program_D,400,3,Lecture,Both,0,Program_Elective
Program_D_C14,Program_D,400,3,Lecture,Both,0,Program_Elective
Program_D_C15,Program_D,400,3,Seminar,Fall,0,Program_Elective
Program_D_C16,Program_D,400,3,Seminar,Spring,0,Program_Elective
