Student_ID,Observation_Term,Program_ID,Entry_Type,Academic_Level,Credits_Completed,Prior_Term_GPA,GPA_Change,Course_Pass_Rate_Last_2_Terms,Failed_Courses_Last_2_Terms,Withdrawals_Last_2_Terms,Current_Course_Load_Credits,LMS_Login_Days_4wk,Assignment_Submission_Rate_4wk,Late_Assignment_Rate_4wk,Average_Assignment_Score_4wk,Days_Since_Last_LMS_Activity
Student_0001,T5_Fall,Program_C,First_Year,2,54,2.16,0.95,0.874,0,0,12,4.54,1.0,0.01,97.7,2
Student_0002,T5_Fall,Program_B,First_Year,3,81,1.48,-0.39,0.805,0,0,12,3.67,0.825,0.146,61.5,0
Student_0003,T5_Fall,Program_B,Transfer,3,65,2.32,-0.12,0.693,1,0,15,2.68,0.794,0.262,61.1,2
Student_0004,T5_Fall,Program_C,First_Year,3,78,2.77,0.37,1.0,0,0,15,4.73,1.0,0.004,77.3,2
Student_0005,T5_Fall,Program_C,Transfer,2,32,2.28,0.64,0.895,0,0,18,2.82,0.969,0.182,78.8,4
Student_0006,T5_Fall,Program_B,First_Year,3,56,2.31,-0.51,0.819,1,0,12,4.07,0.895,0.178,71.1,4
Student_0007,T5_Fall,Program_D,First_Year,2,47,2.44,0.0,0.904,0,1,15,4.91,1.0,0.053,83.3,2
Student_0008,T5_Fall,Program_D,First_Year,2,31,3.06,-0.01,0.944,0,0,9,4.66,0.958,0.079,99.9,1
Student_0009,T5_Fall,Program_B,First_Year,2,36,2.82,0.21,0.952,0,0,12,3.9,1.0,0.218,84.0,1
Student_0010,T5_Fall,Program_D,First_Year,2,53,2.16,-0.27,0.911,0,0,12,5.59,0.967,0.0,89.4,2
Student_0011,T5_Fall,Program_A,First_Year,2,42,3.23,-0.44,0.944,0,0,15,3.64,1.0,0.165,100.0,3
Student_0012,T5_Fall,Program_D,First_Year,3,81,2.37,-0.42,0.797,0,0,15,3.47,0.838,0.269,59.7,4
Student_0013,T5_Fall,Program_B,First_Year,3,77,2.53,0.06,0.769,1,0,12,4.18,0.913,0.165,74.3,4
Student_0014,T5_Fall,Program_D,First_Year,1,8,3.09,-0.04,1.0,0,0,12,4.33,0.958,0.155,80.6,2
