Program_ID,Requirement_ID,Requirement_Type,Course_ID,Minimum_Courses_From_Group
Program_A,Core_01,Required_Course,Program_A_C01,1
Program_A,Core_02,Required_Course,Program_A_C02,1
Program_A,Core_03,Required_Course,Program_A_C03,1
Program_A,Core_04,Required_Course,Program_A_C04,1
Program_A,Core_05,Required_Course,Program_A_C05,1
Program_A,Core_06,Required_Course,Program_A_C06,1
Program_A,Core_07,Required_Course,Program_A_C07,1
Program_A,Core_08,Required_Course,Program_A_C08,1
Program_A,Core_09,Required_Course,Program_A_C09,1
Program_A,Core_10,Required_Course,Program_A_C10,1
Program_A,Core_11,Required_Course,Program_A_C11,1
Program_A,Core_12,Required_Course,Program_A_C12,1
Program_A,Program_Electives,Choose_N,Program_A_C13,2
Program_A,Program_Electives,Choose_N,Program_A_C14,2
Program_A,Program_Electives,Choose_N,Program_A_C15,2
Program_A,Program_Electives,Choose_N,Program_A_C16,2
Program_B,Core_01,Required_Course,Program_B_C01,1
Program_B,Core_02,Required_Course,Program_B_C02,1
Program_B,Core_03,Required_Course,Program_B_C03,1
Program_B,Core_04,Required_Course,Program_B_C04,1
Program_B,Core_05,Required_Course,Program_B_C05,1
Program_B,Core_06,Required_Course,Program_B_C06,1
Program_B,Core_07,Required_Course,Program_B_C07,1
Program_B,Core_08,Required_Course,Program_B_C08,1
Program_B,Core_09,Required_Course,Program_B_C09,1
Program_B,Core_10,Required_Course,Program_B_C10,1
Program_B,Core_11,Required_Course,Program_B_C11,1
Program_B,Core_12,Required_Course,Program_B_C12,1
Program_B,Program_Electives,Choose_N,Program_B_C13,2
Program_B,Program_Electives,Choose_N,Program_B_C14,2
Program_B,Program_Electives,Choose_N,Program_B_C15,2
Program_B,Program_Electives,Choose_N,Program_B_C16,2
Program_C,Core_01,Required_Course,Program_C_C01,1
Program_C,Core_02,Required_Course,Program_C_C02,1
Program_C,Core_03,Required_Course,Program_C_C03,1
Program_C,Core_04,Required_Course,Program_C_C04,1
Program_C,Core_05,Required_Course,Program_C_C05,1
Program_C,Core_06,Required_Course,Program_C_C06,1
Program_C,Core_07,Required_Course,Program_C_C07,1
Program_C,Core_08,Required_Course,Program_C_C08,1
Program_C,Core_09,Required_Course,Program_C_C09,1
Program_C,Core_10,Required_Course,Program_C_C10,1
Program_C,Core_11,Required_Course,Program_C_C11,1
Program_C,Core_12,Required_Course,Program_C_C12,1
Program_C,Program_Electives,Choose_N,Program_C_C13,2
Program_C,Program_Electives,Choose_N,Program_C_C14,2
Program_C,Program_Electives,Choose_N,Program_C_C15,2
Program_C,Program_Electives,Choose_N,Program_C_C16,2
Program_D,Core_01,Required_Course,Program_D_C01,1
Program_D,Core_02,Required_Course,Program_D_C02,1
Program_D,Core_03,Required_Course,Program_D_C03,1
Program_D,Core_04,Required_Course,Program_D_C04,1
Program_D,Core_05,Required_Course,Program_D_C05,1
Program_D,Core_06,Required_Course,Program_D_C06,1
Program_D,Core_07,Required_Course,Program_D_C07,1
Program_D,Core_08,Required_Course,Program_D_C08,1
Program_D,Core_09,Required_Course,Program_D_C09,1
Program_D,Core_10,Required_Course,Program_D_C10,1
Program_D,Core_11,Required_Course,Program_D_C11,1
Program_D,Core_12,Required_Course,Program_D_C12,1
Program_D,Program_Electives,Choose_N,Program_D_C13,2
Program_D,Program_Electives,Choose_N,Program_D_C14,2
Program_D,Program_Electives,Choose_N,Program_D_C15,2
Program_D,Program_Electives,Choose_N,Program_D_C16,2
