Student_ID,Term_ID,Week,LMS_Login_Days,Assignments_Due,Assignments_Submitted,Assignments_Late,Average_Assignment_Score,Days_Since_Last_Activity
Student_0001,T2_Spring,1,6.0,2,2,0,87.1,1
Student_0001,T2_Spring,2,5.3,5,5,0,85.1,4
Student_0001,T2_Spring,3,6.0,3,3,0,92.5,3
Student_0001,T2_Spring,4,6.4,2,2,0,78.4,1
Student_0001,T2_Spring,5,4.8,4,4,0,83.9,4
Student_0001,T2_Spring,6,4.6,2,2,0,88.3,5
Student_0002,T2_Spring,1,4.1,5,5,1,54.2,4
Student_0002,T2_Spring,2,3.8,2,2,0,67.3,4
Student_0002,T2_Spring,3,3.1,2,2,1,57.5,8
Student_0002,T2_Spring,4,3.1,4,3,1,49.7,5
Student_0002,T2_Spring,5,3.5,3,3,1,52.0,4
Student_0002,T2_Spring,6,3.5,2,2,0,61.8,8
Student_0003,T2_Spring,1,4.0,4,3,1,74.5,5
Student_0003,T2_Spring,2,5.5,4,4,1,72.4,4
Student_0003,T2_Spring,3,4.9,2,2,0,76.5,2
Student_0003,T2_Spring,4,3.7,2,2,0,69.8,5
Student_0003,T2_Spring,5,5.1,5,5,1,73.2,3
Student_0003,T2_Spring,6,5.4,5,4,1,76.2,1
Student_0004,T2_Spring,1,6.0,3,3,0,85.0,2
Student_0004,T2_Spring,2,5.8,4,3,0,85.2,2
Student_0004,T2_Spring,3,5.8,3,3,0,99.7,3
Student_0004,T2_Spring,4,4.5,3,3,0,83.9,1
Student_0004,T2_Spring,5,4.5,4,4,0,95.5,1
Student_0004,T2_Spring,6,5.0,4,4,0,85.2,4
Student_0005,T2_Spring,1,4.0,2,2,0,81.8,4
Student_0005,T2_Spring,2,4.1,5,5,1,83.8,6
Student_0005,T2_Spring,3,4.0,2,2,0,84.3,3
Student_0005,T2_Spring,4,3.2,4,3,0,85.3,7
Student_0005,T2_Spring,5,5.4,3,2,0,77.4,6
Student_0005,T2_Spring,6,4.0,2,2,0,79.7,7
Student_0006,T2_Spring,1,3.3,4,4,0,83.1,0
Student_0006,T2_Spring,2,3.9,2,2,0,84.9,2
Student_0006,T2_Spring,3,2.6,2,2,0,67.8,0
Student_0006,T2_Spring,4,2.3,3,3,1,79.1,0
Student_0006,T2_Spring,5,2.0,2,2,0,73.7,2
Student_0006,T2_Spring,6,2.5,2,2,0,84.7,0
Student_0007,T2_Spring,1,4.0,5,4,1,87.3,0
