Course_ID,Term_ID,Season,Available,Credits
Program_A_C01,T6_Spring,Spring,1,3
Program_A_C01,T7_Fall,Fall,1,3
Program_A_C02,T6_Spring,Spring,1,3
Program_A_C02,T7_Fall,Fall,1,3
Program_A_C03,T6_Spring,Spring,1,3
Program_A_C03,T7_Fall,Fall,1,3
Program_A_C04,T6_Spring,Spring,1,4
Program_A_C04,T7_Fall,Fall,1,4
Program_A_C05,T6_Spring,Spring,0,3
Program_A_C05,T7_Fall,Fall,1,3
Program_A_C06,T6_Spring,Spring,1,3
Program_A_C06,T7_Fall,Fall,1,3
Program_A_C07,T6_Spring,Spring,0,3
Program_A_C07,T7_Fall,Fall,1,3
Program_A_C08,T6_Spring,Spring,1,4
Program_A_C08,T7_Fall,Fall,0,4
Program_A_C09,T6_Spring,Spring,1,3
Program_A_C09,T7_Fall,Fall,1,3
Program_A_C10,T6_Spring,Spring,1,3
Program_A_C10,T7_Fall,Fall,1,3
Program_A_C11,T6_Spring,Spring,0,3
Program_A_C11,T7_Fall,Fall,1,3
Program_A_C12,T6_Spring,Spring,1,4
Program_A_C12,T7_Fall,Fall,0,4
Program_A_C13,T6_Spring,Spring,1,3
Program_A_C13,T7_Fall,Fall,1,3
Program_A_C14,T6_Spring,Spring,1,3
Program_A_C14,T7_Fall,Fall,1,3
Program_A_C15,T6_Spring,Spring,0,3
Program_A_C15,T7_Fall,Fall,0,3
Program_A_C16,T6_Spring,Spring,1,3
Program_A_C16,T7_Fall,Fall,0,3
Program_B_C01,T6_Spring,Spring,1,3
Program_B_C01,T7_Fall,Fall,1,3
Program_B_C02,T6_Spring,Spring,1,3
Program_B_C02,T7_Fall,Fall,1,3
Program_B_C03,T6_Spring,Spring,0,3
Program_B_C03,T7_Fall,Fall,1,3
Program_B_C04,T6_Spring,Spring,1,4
Program_B_C04,T7_Fall,Fall,0,4
Program_B_C05,T6_Spring,Spring,1,3
Program_B_C05,T7_Fall,Fall,1,3
Program_B_C06,T6_Spring,Spring,1,3
Program_B_C06,T7_Fall,Fall,1,3
Program_B_C07,T6_Spring,Spring,0,3
Program_B_C07,T7_Fall,Fall,1,3
Program_B_C08,T6_Spring,Spring,1,4
Program_B_C08,T7_Fall,Fall,0,4
Program_B_C09,T6_Spring,Spring,1,3
Program_B_C09,T7_Fall,Fall,1,3
Program_B_C10,T6_Spring,Spring,1,3
Program_B_C10,T7_Fall,Fall,1,3
Program_B_C11,T6_Spring,Spring,0,3
Program_B_C11,T7_Fall,Fall,1,3
Program_B_C12,T6_Spring,Spring,1,4
Program_B_C12,T7_Fall,Fall,0,4
Program_B_C13,T6_Spring,Spring,1,3
Program_B_C13,T7_Fall,Fall,1,3
Program_B_C14,T6_Spring,Spring,1,3
Program_B_C14,T7_Fall,Fall,1,3
Program_B_C15,T6_Spring,Spring,0,3
Program_B_C15,T7_Fall,Fall,1,3
Program_B_C16,T6_Spring,Spring,1,3
Program_B_C16,T7_Fall,Fall,0,3
Program_C_C01,T6_Spring,Spring,1,3
Program_C_C01,T7_Fall,Fall,1,3
Program_C_C02,T6_Spring,Spring,1,3
Program_C_C02,T7_Fall,Fall,1,3
Program_C_C03,T6_Spring,Spring,0,3
Program_C_C03,T7_Fall,Fall,1,3
Program_C_C04,T6_Spring,Spring,1,4
Program_C_C04,T7_Fall,Fall,0,4
Program_C_C05,T6_Spring,Spring,1,3
Program_C_C05,T7_Fall,Fall,1,3
Program_C_C06,T6_Spring,Spring,1,3
Program_C_C06,T7_Fall,Fall,1,3
Program_C_C07,T6_Spring,Spring,0,3
Program_C_C07,T7_Fall,Fall,1,3
Program_C_C08,T6_Spring,Spring,1,4
Program_C_C08,T7_Fall,Fall,0,4
Program_C_C09,T6_Spring,Spring,1,3
Program_C_C09,T7_Fall,Fall,1,3
Program_C_C10,T6_Spring,Spring,1,3
Program_C_C10,T7_Fall,Fall,1,3
Program_C_C11,T6_Spring,Spring,0,3
Program_C_C11,T7_Fall,Fall,1,3
Program_C_C12,T6_Spring,Spring,0,4
Program_C_C12,T7_Fall,Fall,0,4
Program_C_C13,T6_Spring,Spring,1,3
Program_C_C13,T7_Fall,Fall,1,3
Program_C_C14,T6_Spring,Spring,1,3
Program_C_C14,T7_Fall,Fall,1,3
Program_C_C15,T6_Spring,Spring,0,3
Program_C_C15,T7_Fall,Fall,1,3
Program_C_C16,T6_Spring,Spring,1,3
Program_C_C16,T7_Fall,Fall,0,3
Program_D_C01,T6_Spring,Spring,1,3
Program_D_C01,T7_Fall,Fall,1,3
Program_D_C02,T6_Spring,Spring,1,3
Program_D_C02,T7_Fall,Fall,1,3
Program_D_C03,T6_Spring,Spring,0,3
Program_D_C03,T7_Fall,Fall,1,3
Program_D_C04,T6_Spring,Spring,1,4
Program_D_C04,T7_Fall,Fall,0,4
Program_D_C05,T6_Spring,Spring,1,3
Program_D_C05,T7_Fall,Fall,1,3
Program_D_C06,T6_Spring,Spring,1,3
Program_D_C06,T7_Fall,Fall,1,3
Program_D_C07,T6_Spring,Spring,0,3
Program_D_C07,T7_Fall,Fall,1,3
Program_D_C08,T6_Spring,Spring,1,4
Program_D_C08,T7_Fall,Fall,0,4
Program_D_C09,T6_Spring,Spring,1,3
Program_D_C09,T7_Fall,Fall,1,3
Program_D_C10,T6_Spring,Spring,0,3
