Student_ID,Observation_Term,Program_ID,Entry_Type,Academic_Level,Credits_Completed,Prior_Term_GPA,GPA_Change,Course_Pass_Rate_Last_2_Terms,Failed_Courses_Last_2_Terms,Withdrawals_Last_2_Terms,Current_Course_Load_Credits,LMS_Login_Days_4wk,Assignment_Submission_Rate_4wk,Late_Assignment_Rate_4wk,Average_Assignment_Score_4wk,Days_Since_Last_LMS_Activity,Intervention_Needed_Next_8_Weeks
Student_0001,T2_Spring,Program_C,First_Year,2,54,2.01,-0.47,0.946,0,0,12,5.47,0.966,0.047,86.7,3,0.0
Student_0002,T2_Spring,Program_B,First_Year,3,81,1.51,0.04,0.78,0,0,12,3.65,0.861,0.227,62.8,6,1.0
Student_0003,T2_Spring,Program_B,Transfer,3,65,2.28,1.0,0.667,0,0,15,4.81,0.886,0.236,72.8,3,0.0
Student_0004,T2_Spring,Program_C,First_Year,3,78,2.64,0.1,0.847,0,0,12,5.06,0.934,0.036,88.9,2,1.0
Student_0006,T2_Spring,Program_B,First_Year,3,56,2.56,-0.35,0.858,0,0,12,3.15,0.899,0.147,79.1,0,0.0
Student_0008,T2_Spring,Program_D,First_Year,2,31,3.02,0.23,0.928,0,0,12,3.59,0.912,0.172,100.0,5,1.0
Student_0009,T2_Spring,Program_B,First_Year,2,36,3.1,-0.39,0.92,0,1,15,4.27,0.865,0.184,96.1,5,0.0
Student_0010,T2_Spring,Program_D,First_Year,2,53,2.34,0.04,0.944,0,0,18,6.93,1.0,0.0,68.5,0,0.0
Student_0011,T2_Spring,Program_A,First_Year,2,42,3.22,-0.31,0.952,0,0,15,5.25,0.889,0.093,79.9,2,0.0
Student_0012,T2_Spring,Program_D,First_Year,3,81,2.36,-0.11,0.837,0,1,15,5.03,0.723,0.271,82.9,1,0.0
Student_0013,T2_Spring,Program_B,First_Year,3,77,2.86,-0.5,0.696,1,0,15,3.12,0.8,0.18,80.5,1,0.0
Student_0014,T2_Spring,Program_D,First_Year,1,8,2.7,0.54,0.894,0,0,12,3.65,0.887,0.0,89.4,0,0.0
Student_0016,T2_Spring,Program_B,First_Year,3,66,3.42,-0.32,0.863,0,1,15,4.05,0.908,0.254,84.4,6,0.0
Student_0017,T2_Spring,Program_D,First_Year,2,29,2.59,0.34,0.892,0,0,15,4.59,0.721,0.245,84.6,2,0.0
Student_0018,T2_Spring,Program_B,First_Year,3,59,1.91,-0.27,0.931,0,0,15,5.16,0.908,0.084,68.7,2,0.0
Student_0020,T2_Spring,Program_B,First_Year,1,3,2.32,0.93,0.895,0,2,12,3.97,0.884,0.0,67.2,3,0.0
Student_0021,T2_Spring,Program_B,First_Year,3,62,2.42,0.18,0.771,0,1,18,3.48,0.769,0.389,75.0,3,1.0
Student_0022,T2_Spring,Program_D,Transfer,4,82,3.5,-0.4,0.937,0,0,15,4.02,0.787,0.288,85.8,3,0.0
Student_0026,T2_Spring,Program_C,First_Year,2,45,3.06,0.05,0.999,0,1,18,3.44,0.948,0.094,87.3,0,0.0
Student_0027,T2_Spring,Program_D,Transfer,3,75,2.77,-0.14,0.765,1,2,15,5.07,0.978,0.22,77.4,0,1.0
