Course_ID,Prerequisite_Course_ID
Program_A_C03,Program_A_C01
Program_A_C04,Program_A_C02
Program_A_C05,Program_A_C02
Program_A_C06,Program_A_C03
Program_A_C07,Program_A_C03
Program_A_C08,Program_A_C04
Program_A_C09,Program_A_C05
Program_A_C10,Program_A_C06
Program_A_C11,Program_A_C07
Program_A_C12,Program_A_C08
Program_A_C13,Program_A_C09
Program_A_C14,Program_A_C10
Program_A_C15,Program_A_C11
Program_A_C16,Program_A_C12
Program_B_C03,Program_B_C01
Program_B_C04,Program_B_C02
Program_B_C05,Program_B_C02
Program_B_C06,Program_B_C03
Program_B_C07,Program_B_C03
Program_B_C08,Program_B_C04
Program_B_C09,Program_B_C05
Program_B_C10,Program_B_C06
Program_B_C11,Program_B_C07
Program_B_C12,Program_B_C08
Program_B_C13,Program_B_C09
Program_B_C14,Program_B_C10
Program_B_C15,Program_B_C11
Program_B_C16,Program_B_C12
Program_C_C03,Program_C_C01
Program_C_C04,Program_C_C02
Program_C_C05,Program_C_C02
Program_C_C06,Program_C_C03
Program_C_C07,Program_C_C03
Program_C_C08,Program_C_C04
Program_C_C09,Program_C_C05
Program_C_C10,Program_C_C06
Program_C_C11,Program_C_C07
Program_C_C12,Program_C_C08
Program_C_C13,Program_C_C09
Program_C_C14,Program_C_C10
Program_C_C15,Program_C_C11
Program_C_C16,Program_C_C12
Program_D_C03,Program_D_C01
Program_D_C04,Program_D_C02
Program_D_C05,Program_D_C02
Program_D_C06,Program_D_C03
Program_D_C07,Program_D_C03
Program_D_C08,Program_D_C04
Program_D_C09,Program_D_C05
Program_D_C10,Program_D_C06
Program_D_C11,Program_D_C07
Program_D_C12,Program_D_C08
Program_D_C13,Program_D_C09
Program_D_C14,Program_D_C10
Program_D_C15,Program_D_C11
Program_D_C16,Program_D_C12
