Student_ID,Program_ID,Entry_Type,Academic_Level,Credits_Completed,Current_GPA,Maximum_Recommended_Credits
Student_0001,Program_C,First_Year,2,54,2.32,18
Student_0002,Program_B,First_Year,3,81,1.58,18
Student_0003,Program_B,Transfer,3,65,2.27,18
Student_0004,Program_C,First_Year,3,78,2.71,15
Student_0005,Program_C,Transfer,2,32,2.46,18
Student_0006,Program_B,First_Year,3,56,2.59,15
Student_0007,Program_D,First_Year,2,47,2.47,15
Student_0008,Program_D,First_Year,2,31,3.14,15
Student_0009,Program_B,First_Year,2,36,2.87,18
Student_0010,Program_D,First_Year,2,53,2.37,15
Student_0011,Program_A,First_Year,2,42,3.43,15
Student_0012,Program_D,First_Year,3,81,2.32,15
Student_0013,Program_B,First_Year,3,77,2.55,15
Student_0014,Program_D,First_Year,1,8,2.89,18
Student_0015,Program_A,First_Year,3,54,2.49,15
Student_0016,Program_B,First_Year,3,66,3.32,18
Student_0017,Program_D,First_Year,2,29,2.76,15
Student_0018,Program_B,First_Year,3,59,2.2,18
Student_0019,Program_D,First_Year,3,63,1.92,18
Student_0020,Program_B,First_Year,1,3,2.66,12
Student_0021,Program_B,First_Year,3,62,2.55,15
Student_0022,Program_D,Transfer,4,82,3.46,15
Student_0023,Program_C,First_Year,4,82,1.68,18
Student_0024,Program_D,First_Year,3,68,2.73,15
Student_0025,Program_C,Transfer,3,72,2.89,15
Student_0026,Program_C,First_Year,2,45,3.09,15
Student_0027,Program_D,Transfer,3,75,2.72,15
Student_0028,Program_C,First_Year,1,14,2.91,18
Student_0029,Program_A,First_Year,2,36,2.84,12
Student_0030,Program_D,Transfer,2,31,2.26,18
Student_0031,Program_D,First_Year,2,36,3.11,12
Student_0032,Program_A,Transfer,4,85,2.34,15
Student_0033,Program_D,Transfer,1,25,2.86,18
Student_0034,Program_B,First_Year,1,9,2.96,15
Student_0035,Program_A,First_Year,2,43,2.78,18
Student_0036,Program_A,Transfer,2,51,2.95,18
Student_0037,Program_C,First_Year,1,7,2.91,18
Student_0038,Program_B,First_Year,2,29,2.94,15
Student_0039,Program_B,First_Year,3,78,2.29,15
Student_0040,Program_B,Transfer,1,7,3.07,15
Student_0041,Program_A,First_Year,3,74,2.2,15
Student_0042,Program_C,Transfer,2,45,2.68,15
Student_0043,Program_C,First_Year,2,30,2.35,15
Student_0044,Program_D,First_Year,2,54,2.73,18
Student_0045,Program_A,Transfer,2,35,2.77,18
Student_0046,Program_C,First_Year,1,3,3.76,15
Student_0047,Program_B,First_Year,4,91,2.45,12
Student_0048,Program_A,Transfer,3,66,2.6,15
Student_0049,Program_D,First_Year,2,27,3.03,15
Student_0050,Program_D,Transfer,4,105,2.25,12
Student_0051,Program_B,Transfer,1,19,3.49,15
Student_0052,Program_A,Transfer,1,22,3.36,15
Student_0053,Program_B,First_Year,1,14,2.14,12
Student_0054,Program_C,Transfer,4,106,2.61,15
Student_0055,Program_B,First_Year,4,99,2.91,15
Student_0056,Program_B,Transfer,3,75,2.68,15
Student_0057,Program_A,First_Year,4,108,2.75,15
Student_0058,Program_A,First_Year,3,66,2.31,15
Student_0059,Program_C,First_Year,1,25,3.17,15
Student_0060,Program_A,Transfer,2,53,2.95,15
Student_0061,Program_D,First_Year,2,53,3.01,15
Student_0062,Program_C,Transfer,3,61,2.11,18
Student_0063,Program_B,First_Year,2,36,3.14,18
Student_0064,Program_A,First_Year,4,106,2.58,15
Student_0065,Program_A,First_Year,3,62,3.14,15
Student_0066,Program_D,First_Year,2,51,2.94,15
