Case_ID,Student_ID,Program_ID,ML_Risk_Score,Advisor_Review_Flag,Baseline_Risk_Count,Observed_Evidence,T6_Spring,T6_Spring_Credits,T7_Fall,T7_Fall_Credits,Validation_Passed,Human_Review_Required
Case_01,Student_1461,Program_A,0.3706211172600907,0,0,credits completed: 102 (lower estimated risk) | failed courses in the last two terms: 0 (lower estimated risk) | withdrawals in the last two terms: 0 (lower estimated risk),Program_A_C12,4,Program_A_C13;Program_A_C14,6,True,True
Case_02,Student_1184,Program_A,0.49453438974317604,0,0,failed courses in the last two terms: 0 (lower estimated risk) | withdrawals in the last two terms: 0 (lower estimated risk) | credits completed: 71 (lower estimated risk),Program_A_C02,3,Program_A_C04;Program_A_C05,7,True,True
Case_03,Student_1727,Program_A,0.6258726845984348,1,4,four-week assignment submission rate: 65.1% (higher estimated risk) | days since last LMS activity: 5 (higher estimated risk) | current course-load credits: 18 (higher estimated risk),Program_A_C02,3,Program_A_C04;Program_A_C05;Program_A_C14,10,True,True
Case_04,Student_0124,Program_B,0.23290268311611614,0,0,GPA change: 0.71 (lower estimated risk) | four-week assignment submission rate: 100.0% (lower estimated risk) | four-week late-assignment rate: 0.0% (lower estimated risk),Program_B_C08;Program_B_C09;Program_B_C10,10,Program_B_C07;Program_B_C13;Program_B_C14,9,True,True
Case_05,Student_2160,Program_B,0.39994120349470796,0,1,failed courses in the last two terms: 0 (lower estimated risk) | four-week average assignment score: 92.50 (lower estimated risk) | withdrawals in the last two terms: 0 (lower estimated risk),Program_B_C01,3,Program_B_C03,3,True,True
Case_06,Student_1248,Program_B,0.7757647702868316,1,5,days since last LMS activity: 7 (higher estimated risk) | four-week assignment submission rate: 68.0% (higher estimated risk) | GPA change: -0.40 (higher estimated risk),Program_B_C02,3,Program_B_C03;Program_B_C05,6,True,True
Case_07,Student_0423,Program_C,0.26867592704830195,0,0,GPA change: 0.44 (lower estimated risk) | days since last LMS activity: 0 (lower estimated risk) | failed courses in the last two terms: 0 (lower estimated risk),Program_C_C05;Program_C_C06;Program_C_C08,10,Program_C_C07;Program_C_C09;Program_C_C10,9,True,True
Case_08,Student_0704,Program_C,0.536995213075438,1,2,withdrawals in the last two terms: 1 (higher estimated risk) | four-week assignment submission rate: 78.9% (higher estimated risk) | LMS login days over four weeks: 2.61 (higher estimated risk),Program_C_C13;Program_C_C16,6,Program_C_C03,3,True,True
Case_09,Student_0773,Program_C,0.6232677092785012,1,4,four-week assignment submission rate: 70.8% (higher estimated risk) | failed courses in the last two terms: 1 (higher estimated risk) | GPA change: -0.21 (higher estimated risk),Program_C_C02,3,Program_C_C05;Program_C_C14;Program_C_C15,9,True,True
Case_10,Student_0217,Program_D,0.39983470199082377,0,0,GPA change: 0.34 (lower estimated risk) | failed courses in the last two terms: 0 (lower estimated risk) | academic level: 1 (lower estimated risk),Program_D_C04;Program_D_C05;Program_D_C06,10,Program_D_C07;Program_D_C09;Program_D_C10,9,True,True
Case_11,Student_0503,Program_D,0.584869658359639,1,3,four-week assignment submission rate: 73.4% (higher estimated risk) | withdrawals in the last two terms: 1 (higher estimated risk) | credits completed: 16 (higher estimated risk),Program_D_C02,3,Program_D_C03;Program_D_C05,6,True,True
Case_12,Student_1189,Program_D,0.5380422435765642,1,1,days since last LMS activity: 5 (higher estimated risk) | withdrawals in the last two terms: 1 (higher estimated risk) | four-week average assignment score: 56.70 (higher estimated risk),Program_D_C06;Program_D_C12,7,Program_D_C10;Program_D_C13,6,True,True
