,target_correlation
Assignment_Submission_Rate_4wk,-0.16589321819904487
GPA_Change,-0.1562006419681049
Late_Assignment_Rate_4wk,0.14946212312489637
Course_Pass_Rate_Last_2_Terms,-0.14639490037096506
LMS_Login_Days_4wk,-0.1408478632233963
Days_Since_Last_LMS_Activity,0.12239221515992951
Failed_Courses_Last_2_Terms,0.1186253524556858
Average_Assignment_Score_4wk,-0.11379460727836112
Withdrawals_Last_2_Terms,0.08574767074149224
Prior_Term_GPA,-0.076643960538015
Current_Course_Load_Credits,0.02730310071092891
Credits_Completed,-0.01642686300324298
Academic_Level,-0.012031246595913652
