feature,coefficient,absolute_coefficient
numeric__Failed_Courses_Last_2_Terms,0.25171114905693664,0.25171114905693664
numeric__GPA_Change,-0.24231186359241347,0.24231186359241347
numeric__Days_Since_Last_LMS_Activity,0.19247216002517925,0.19247216002517925
numeric__Withdrawals_Last_2_Terms,0.17708962105927542,0.17708962105927542
numeric__Assignment_Submission_Rate_4wk,-0.15942010205750856,0.15942010205750856
numeric__Credits_Completed,-0.12457920157011082,0.12457920157011082
numeric__Academic_Level,0.08810925810817406,0.08810925810817406
numeric__Current_Course_Load_Credits,0.0852547669469616,0.0852547669469616
categorical__Program_ID_Program_C,-0.0849540529823674,0.0849540529823674
numeric__Average_Assignment_Score_4wk,-0.08245406010709563,0.08245406010709563
numeric__LMS_Login_Days_4wk,-0.07957779567265859,0.07957779567265859
numeric__Late_Assignment_Rate_4wk,0.0761857047129172,0.0761857047129172
categorical__Entry_Type_Transfer,-0.059478038100668984,0.059478038100668984
numeric__Course_Pass_Rate_Last_2_Terms,-0.040563368218418314,0.040563368218418314
numeric__Prior_Term_GPA,-0.015428118150212881,0.015428118150212881
categorical__Entry_Type_First_Year,-0.015419499498672199,0.015419499498672199
categorical__Program_ID_Program_D,0.011475866888289457,0.011475866888289457
categorical__Program_ID_Program_B,-0.0019752986929956018,0.0019752986929956018
categorical__Program_ID_Program_A,0.0005559471877325951,0.0005559471877325951
