Case_ID,Student_ID,Program_ID,Term_ID,Course_ID,Credits,Requirement_Group,Required_Flag,Prerequisites
Case_01,Student_1461,Program_A,T6_Spring,Program_A_C12,4,Core,1,Program_A_C08
Case_01,Student_1461,Program_A,T7_Fall,Program_A_C13,3,Program_Elective,0,Program_A_C09
Case_01,Student_1461,Program_A,T7_Fall,Program_A_C14,3,Program_Elective,0,Program_A_C10
Case_02,Student_1184,Program_A,T6_Spring,Program_A_C02,3,Core,1,None
Case_02,Student_1184,Program_A,T7_Fall,Program_A_C04,4,Core,1,Program_A_C02
Case_02,Student_1184,Program_A,T7_Fall,Program_A_C05,3,Core,1,Program_A_C02
Case_03,Student_1727,Program_A,T6_Spring,Program_A_C02,3,Core,1,None
Case_03,Student_1727,Program_A,T7_Fall,Program_A_C04,4,Core,1,Program_A_C02
Case_03,Student_1727,Program_A,T7_Fall,Program_A_C05,3,Core,1,Program_A_C02
Case_03,Student_1727,Program_A,T7_Fall,Program_A_C14,3,Program_Elective,0,Program_A_C10
Case_04,Student_0124,Program_B,T6_Spring,Program_B_C08,4,Core,1,Program_B_C04
Case_04,Student_0124,Program_B,T6_Spring,Program_B_C09,3,Core,1,Program_B_C05
Case_04,Student_0124,Program_B,T6_Spring,Program_B_C10,3,Core,1,Program_B_C06
Case_04,Student_0124,Program_B,T7_Fall,Program_B_C07,3,Core,1,Program_B_C03
Case_04,Student_0124,Program_B,T7_Fall,Program_B_C13,3,Program_Elective,0,Program_B_C09
Case_04,Student_0124,Program_B,T7_Fall,Program_B_C14,3,Program_Elective,0,Program_B_C10
Case_05,Student_2160,Program_B,T6_Spring,Program_B_C01,3,Core,1,None
Case_05,Student_2160,Program_B,T7_Fall,Program_B_C03,3,Core,1,Program_B_C01
Case_06,Student_1248,Program_B,T6_Spring,Program_B_C02,3,Core,1,None
Case_06,Student_1248,Program_B,T7_Fall,Program_B_C03,3,Core,1,Program_B_C01
Case_06,Student_1248,Program_B,T7_Fall,Program_B_C05,3,Core,1,Program_B_C02
Case_07,Student_0423,Program_C,T6_Spring,Program_C_C05,3,Core,1,Program_C_C02
Case_07,Student_0423,Program_C,T6_Spring,Program_C_C06,3,Core,1,Program_C_C03
Case_07,Student_0423,Program_C,T6_Spring,Program_C_C08,4,Core,1,Program_C_C04
Case_07,Student_0423,Program_C,T7_Fall,Program_C_C07,3,Core,1,Program_C_C03
Case_07,Student_0423,Program_C,T7_Fall,Program_C_C09,3,Core,1,Program_C_C05
Case_07,Student_0423,Program_C,T7_Fall,Program_C_C10,3,Core,1,Program_C_C06
Case_08,Student_0704,Program_C,T6_Spring,Program_C_C13,3,Program_Elective,0,Program_C_C09
Case_08,Student_0704,Program_C,T6_Spring,Program_C_C16,3,Program_Elective,0,Program_C_C12
Case_08,Student_0704,Program_C,T7_Fall,Program_C_C03,3,Core,1,Program_C_C01
Case_09,Student_0773,Program_C,T6_Spring,Program_C_C02,3,Core,1,None
Case_09,Student_0773,Program_C,T7_Fall,Program_C_C05,3,Core,1,Program_C_C02
Case_09,Student_0773,Program_C,T7_Fall,Program_C_C14,3,Program_Elective,0,Program_C_C10
Case_09,Student_0773,Program_C,T7_Fall,Program_C_C15,3,Program_Elective,0,Program_C_C11
Case_10,Student_0217,Program_D,T6_Spring,Program_D_C04,4,Core,1,Program_D_C02
Case_10,Student_0217,Program_D,T6_Spring,Program_D_C05,3,Core,1,Program_D_C02
Case_10,Student_0217,Program_D,T6_Spring,Program_D_C06,3,Core,1,Program_D_C03
Case_10,Student_0217,Program_D,T7_Fall,Program_D_C07,3,Core,1,Program_D_C03
Case_10,Student_0217,Program_D,T7_Fall,Program_D_C09,3,Core,1,Program_D_C05
Case_10,Student_0217,Program_D,T7_Fall,Program_D_C10,3,Core,1,Program_D_C06
Case_11,Student_0503,Program_D,T6_Spring,Program_D_C02,3,Core,1,None
Case_11,Student_0503,Program_D,T7_Fall,Program_D_C03,3,Core,1,Program_D_C01
Case_11,Student_0503,Program_D,T7_Fall,Program_D_C05,3,Core,1,Program_D_C02
Case_12,Student_1189,Program_D,T6_Spring,Program_D_C06,3,Core,1,Program_D_C03
Case_12,Student_1189,Program_D,T6_Spring,Program_D_C12,4,Core,1,Program_D_C08
Case_12,Student_1189,Program_D,T7_Fall,Program_D_C10,3,Core,1,Program_D_C06
Case_12,Student_1189,Program_D,T7_Fall,Program_D_C13,3,Program_Elective,0,Program_D_C09
